id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
5768,women,apparel,bottomwear,other,blue,summer,2011.0,casual,jealous 21 women dark blue jeggning
31891,women,accessories,other,other,green,summer,2012.0,ethnic,fabindia women green ekko silk stole
27537,men,apparel,topwear,shirts,green,summer,2012.0,casual,scullers men check green & blue shirt
49114,women,personal care,other,other,beige,spring,2017.0,casual,deborah beige couture 18 atomic red lipstick
14029,women,apparel,bottomwear,other,grey,fall,2011.0,sports,nike women solid grey track pants
42945,men,accessories,belts,belts,brown,summer,2012.0,casual,french connection men brown belt
20305,women,apparel,topwear,other,other,fall,2011.0,casual,jealous 21 women solid magenta sweater
48219,women,accessories,eyewear,sunglasses,brown,winter,2016.0,casual,united colors of benetton women brown sunglass
50866,women,apparel,other,other,black,fall,2012.0,ethnic,prafful black crepe printed sari
57443,women,apparel,topwear,tshirts,blue,summer,2015.0,casual,angry birds women blue t-shirt
52477,women,apparel,other,other,black,winter,2015.0,casual,red rose black nightdress
25836,women,apparel,topwear,kurtas,other,summer,2012.0,ethnic,diva women printed orange kurta
21192,unisex,accessories,bags,other,red,summer,2012.0,casual,quiksilver unisex red backpack
23134,boys,apparel,topwear,tshirts,navy blue,fall,2011.0,casual,chhota bheem kids boys i like to paint navy blue t-shirt
14478,women,footwear,shoes,heels,red,summer,2012.0,casual,enroute women casual red flats
27820,men,accessories,belts,belts,brown,fall,2013.0,formal,bulchee men brown padded chino belt
18735,women,apparel,dress,other,purple,fall,2011.0,casual,arrow woman rima purple dress
44720,women,footwear,flip flops,flip flops,pink,summer,2012.0,casual,lotto women pink disco holic flip flops
48340,women,accessories,jewellery,other,silver,fall,2012.0,casual,pitaraa silver ball necklace
2987,men,footwear,shoes,casual shoes,brown,summer,2012.0,casual,id men's casual leather brown shoe
37637,girls,apparel,topwear,tshirts,other,summer,2012.0,casual,madagascar3 girls teal printed t-shirt
7343,men,apparel,topwear,tshirts,other,fall,2011.0,casual,tantra men khaki t-shirt
29410,men,accessories,watches,watches,black,winter,2016.0,casual,giordano men black dial watch
9244,men,apparel,topwear,shirts,blue,fall,2011.0,formal,mark taylor men blue striped shirt
50322,women,apparel,topwear,kurtas,black,summer,2012.0,ethnic,aurelia women black kurta
56035,women,personal care,other,other,brown,spring,2017.0,casual,colorbar soft touch ruby woo lipstick 012
24781,women,accessories,belts,belts,white,winter,2015.0,casual,lino perros women ladies belts white white belts
59903,women,accessories,other,other,other,fall,2012.0,casual,femella women peach printed scarf
13906,women,footwear,shoes,sports shoes,grey,fall,2011.0,sports,nike women lunarglide grey sports shoes
45968,women,apparel,topwear,tshirts,white,summer,2012.0,casual,tokyo talkies women white printed t-shirt
36424,men,footwear,shoes,sports shoes,white,summer,2012.0,sports,spinn men bostern road white sports shoes
44714,men,footwear,flip flops,flip flops,maroon,summer,2012.0,casual,lotto men maroon juve flip flop
59718,women,apparel,innerwear,other,white,summer,2014.0,casual,avirate white bra
7285,men,apparel,topwear,tshirts,green,fall,2011.0,casual,dc comics men's son of krypton t-shirt
25441,men,footwear,shoes,casual shoes,blue,summer,2012.0,casual,nike men elite blue shoes
55146,women,personal care,other,other,pink,spring,2017.0,casual,lakme true wear freespirit nail polish n238
35259,women,apparel,topwear,shirts,blue,summer,2012.0,casual,lee women jane blue striped shirt
39364,women,accessories,watches,watches,white,winter,2016.0,casual,helix women white dial watch
19591,women,apparel,topwear,tops,navy blue,fall,2011.0,casual,united colors of benetton women solid navy blue top
28595,men,accessories,belts,belts,brown,summer,2012.0,casual,peter england men leather brown belt
57140,women,apparel,bottomwear,other,brown,summer,2012.0,casual,elle women brown trousers
42693,women,footwear,shoes,other,black,winter,2012.0,casual,rocia women black & silver sandals
6609,men,apparel,topwear,tops,white,summer,2011.0,casual,spykar men's stripes white top
8679,unisex,accessories,eyewear,sunglasses,black,winter,2016.0,casual,fastrack unisex black sunglasses
5575,girls,apparel,bottomwear,other,green,summer,2011.0,casual,ant kids girl's green kidswear
28374,men,accessories,eyewear,sunglasses,other,winter,2016.0,casual,idee men copper sunglasses
37449,men,accessories,belts,belts,brown,summer,2012.0,casual,turtle men brown belt
57092,women,apparel,bottomwear,other,other,summer,2012.0,casual,elle women off white skirt
18988,men,apparel,topwear,tshirts,white,summer,2011.0,casual,adidas originals men st logo white tshirt
27865,women,apparel,topwear,shirts,purple,summer,2012.0,casual,scullers for her striped purple shirt
11725,men,apparel,topwear,tshirts,other,fall,2011.0,casual,lee men printed orange tshirts
49825,women,footwear,flip flops,flip flops,yellow,winter,2012.0,casual,ipanema women yellow flip flops
13285,men,apparel,bottomwear,other,black,fall,2011.0,casual,gini and jony kids boys solid black shorts
46444,men,accessories,watches,watches,black,winter,2016.0,casual,timex men black dial watch
43063,men,apparel,topwear,tshirts,red,summer,2012.0,casual,nike men red portugal football t-shirt
10387,men,accessories,watches,watches,black,winter,2016.0,casual,puma men indication  178 black watches
17439,women,accessories,watches,watches,white,winter,2016.0,casual,casio women white dial watch sh174 shn-3019d-7adr
22258,women,footwear,shoes,heels,blue,winter,2012.0,casual,inc. 5 women casual blue heels
10315,women,accessories,watches,watches,gold,winter,2016.0,casual,esprit women rough chic gold watch
57366,women,apparel,innerwear,briefs,pink,winter,2015.0,casual,amante women pink lace briefs pcfr11
3063,men,apparel,topwear,tshirts,blue,summer,2011.0,casual,tantra men's beer addict blue t-shirt
15227,men,footwear,shoes,casual shoes,white,fall,2011.0,casual,adidas originals men superstar 11 white casual shoes
44187,women,personal care,fragrance,other,white,spring,2017.0,casual,nike fragrances women 5th element perfume 150 ml
24333,men,apparel,topwear,tshirts,blue,summer,2012.0,casual,adidas men blue printed t-shirt
3212,women,footwear,shoes,sports shoes,white,summer,2011.0,sports,nike women sweet classic white pink shoe
8298,men,footwear,flip flops,flip flops,black,fall,2011.0,casual,skechers men aiser black flip flop
19889,men,accessories,belts,belts,other,summer,2011.0,casual,lee men canvas olive belt
34730,women,accessories,wallets,wallets,pink,summer,2012.0,casual,baggit women pink wallet
6948,women,apparel,topwear,tshirts,blue,summer,2011.0,casual,s.oliver women's printed top blue t-shirt
7324,men,footwear,sandal,sandals,brown,summer,2013.0,casual,red tape men brown floater
7223,men,footwear,shoes,other,brown,fall,2011.0,formal,rockport men's schemerhorn dark brown shoe
52802,men,accessories,wallets,wallets,black,summer,2012.0,casual,jag men black leather wallet
18272,women,apparel,topwear,kurtas,green,fall,2011.0,ethnic,aneri women new piya green kurta
59994,women,apparel,dress,other,black,fall,2012.0,formal,avirate black formal dress
36046,unisex,accessories,bags,other,blue,summer,2012.0,casual,otls unisex blue duffle bag
5440,men,apparel,topwear,tshirts,yellow,summer,2011.0,casual,nike men's club pique polo med yellow white t-shirt
34357,men,apparel,topwear,tshirts,blue,summer,2012.0,casual,myntra men blue prayer t-shirt
10175,men,footwear,shoes,casual shoes,black,fall,2011.0,casual,united colors of benetton men wango black casual shoes
9817,men,footwear,shoes,casual shoes,black,summer,2014.0,casual,converse men ct as sketch ox black casual shoes
16060,men,apparel,bottomwear,other,beige,fall,2011.0,casual,highlander men solid beige trouser
50928,men,apparel,innerwear,briefs,navy blue,summer,2016.0,casual,parx men navy blue briefs
22042,women,apparel,topwear,kurtas,blue,fall,2011.0,ethnic,vishudh women printed blue kurta
18438,unisex,accessories,bags,other,black,fall,2011.0,casual,vital gear black unisex backpack
37998,men,footwear,flip flops,flip flops,brown,summer,2012.0,casual,kelme men brown flip flops
47545,women,footwear,shoes,other,maroon,winter,2012.0,casual,portia women maroon & silver flats
38570,women,apparel,bottomwear,other,black,summer,2012.0,sports,nike womens black capris
46939,women,personal care,fragrance,other,blue,spring,2017.0,casual,york women euforia perfume
7801,men,apparel,topwear,tshirts,navy blue,fall,2011.0,casual,proline men navy polo t-shirt
12928,men,apparel,topwear,tshirts,blue,fall,2011.0,casual,classic polo men rugby kingdom blue tshirts
52574,women,accessories,bags,other,beige,summer,2012.0,casual,mod'acc women beige clutch
6020,men,apparel,topwear,tshirts,red,summer,2011.0,casual,ucb men's roundneck with sail racing print red t-shirt
9672,men,apparel,bottomwear,other,black,fall,2011.0,casual,adidas men addi black shorts
36818,women,apparel,topwear,kurtas,black,summer,2012.0,ethnic,vishudh women black kurta
8550,men,apparel,topwear,tshirts,red,fall,2011.0,casual,basics men plain red polo tshirts
55647,women,footwear,shoes,heels,other,winter,2015.0,casual,catwalk women turquoise blue flats
52834,women,accessories,jewellery,other,other,fall,2012.0,ethnic,adrika women black & blue earrings
40542,women,accessories,watches,watches,gold,winter,2016.0,casual,titan women gold watch
52437,women,apparel,other,other,other,winter,2015.0,casual,red rose women lavender nightdress
45585,men,footwear,shoes,other,brown,summer,2012.0,formal,arrow men brown formal shoes
37938,women,apparel,dress,other,green,summer,2012.0,casual,mineral women green dress
11524,men,apparel,topwear,other,blue,fall,2011.0,casual,united colors of benetton men blue sweatshirt
14555,men,footwear,shoes,casual shoes,black,fall,2011.0,casual,vans men old skool black casual shoes
21848,boys,apparel,topwear,tshirts,white,fall,2011.0,casual,chhota bheem kids boys holi hai white t-shirt
2200,men,apparel,topwear,tshirts,red,fall,2010.0,sports,adidas men red polo t-shirt
25782,men,apparel,topwear,other,black,summer,2012.0,formal,arrow men black & white suspenders
57633,women,personal care,other,other,pink,spring,2017.0,casual,lotus herbals pretty pink nail polish 953
18308,men,apparel,topwear,tshirts,green,fall,2011.0,casual,wills lifestyle men striped green t-shirt
36254,men,apparel,other,other,navy blue,summer,2016.0,casual,sdl by sweet dreams men navy blue & white pyjama set
43085,women,apparel,topwear,tshirts,yellow,summer,2012.0,sports,nike women yellow polo neck t-shirt
52305,women,accessories,jewellery,other,blue,winter,2016.0,casual,toniq women blue beaded necklace
22774,women,apparel,topwear,other,other,fall,2011.0,ethnic,biba outlet women printed off white kurti
49957,men,apparel,bottomwear,other,other,winter,2016.0,casual,hanes men grey panelled 3/4th pants
37587,girls,apparel,innerwear,other,green,summer,2012.0,casual,madagascar3 girls green innerwear vest
4250,men,apparel,topwear,tshirts,green,summer,2011.0,casual,probase men's mirror on the green t-shirt
44147,men,personal care,fragrance,other,red,spring,2017.0,casual,nike fragrances men extreme deo
21431,women,apparel,bottomwear,other,white,winter,2012.0,casual,roxy women white shorts
47563,women,footwear,shoes,heels,black,winter,2012.0,casual,portia women black sandals
48411,men,apparel,topwear,tshirts,white,summer,2012.0,casual,french connection men white printed t-shirt
25444,men,footwear,shoes,casual shoes,black,summer,2012.0,casual,nike men sweet classic high black shoes
2014,men,apparel,topwear,tshirts,yellow,fall,2010.0,sports,adidas men's classic yellow polo t-shirt
36375,men,accessories,socks,other,navy blue,summer,2016.0,casual,reid & taylor men navy blue socks
57068,women,apparel,topwear,other,blue,summer,2012.0,casual,elle women navy blue jacket
39862,boys,apparel,topwear,tshirts,black,summer,2012.0,casual,gini and jony boys polo black t-shirt
5929,men,footwear,shoes,casual shoes,white,summer,2011.0,casual,adidas men's lucent multi white shoe
8658,unisex,accessories,eyewear,sunglasses,brown,winter,2016.0,casual,fastrack unisex rectangular sunglasses ftml005glbr2
48167,women,accessories,wallets,wallets,brown,winter,2016.0,casual,fossil women brown wallet
26943,women,apparel,topwear,tshirts,yellow,summer,2012.0,casual,jealous 21 women printed yellow t-shirt
26173,women,footwear,shoes,other,black,winter,2012.0,casual,rocia women black casual sandals
20157,men,apparel,topwear,shirts,green,fall,2011.0,casual,wrangler men festa bright green shirt
3491,men,footwear,sandal,sandals,black,fall,2010.0,casual,adidas men hispana red black sandal
49838,women,footwear,flip flops,flip flops,black,winter,2012.0,casual,ipanema women black flip flops
2547,men,footwear,flip flops,flip flops,green,summer,2011.0,casual,numero uno men's casual graphic green flip flop
23513,men,accessories,watches,watches,black,winter,2016.0,casual,adidas men black watch
47131,women,accessories,bags,handbags,white,summer,2015.0,casual,be for bag women pink bag
6819,women,footwear,flip flops,flip flops,red,summer,2011.0,casual,timberland women's estela umbrella red flip flop
44816,women,apparel,bottomwear,other,blue,summer,2012.0,casual,spykar women blue jeans
25069,men,accessories,other,other,blue,winter,2015.0,formal,lino perros men formal blue accessory gift set
36134,women,footwear,flip flops,flip flops,beige,summer,2012.0,casual,nike women beige solarsoft thong ii flip flops
8455,women,apparel,topwear,tops,pink,fall,2011.0,casual,jealous 21 women jealous ran pink top pink tops
5217,unisex,accessories,bags,other,brown,winter,2015.0,casual,wildcraft unisex brown & black backpack
57855,women,footwear,shoes,heels,other,summer,2016.0,casual,catwalk women multi coloured flats
13326,men,apparel,topwear,shirts,brown,fall,2011.0,casual,gini and jony kids boys printed brown shirts
19465,men,apparel,topwear,shirts,navy blue,fall,2011.0,casual,quiksilver men navy blue check shirt
9926,unisex,accessories,bags,handbags,green,fall,2011.0,casual,puma unisex originals mono flight green bags
59950,women,personal care,fragrance,other,yellow,spring,2017.0,casual,taylor of london women kashmir deo
13342,women,apparel,bottomwear,other,purple,fall,2011.0,casual,gini and jony kids girls solid purple capris
37883,unisex,accessories,socks,other,other,summer,2016.0,casual,happy socks unisex multi color socks
30014,men,accessories,watches,watches,other,winter,2016.0,casual,kenneth cole men white dial watch
59291,men,accessories,watches,watches,grey,winter,2016.0,casual,titan edge men grey dial watch
24296,men,accessories,socks,other,red,summer,2016.0,casual,quiksilver men red socks
27436,women,apparel,topwear,tops,black,winter,2017.0,sports,jockey women black racer back top
45406,women,footwear,shoes,other,black,summer,2012.0,casual,rocia women black sandals
28510,men,apparel,topwear,tshirts,black,summer,2012.0,sports,nike men training black t-shirt
47321,women,accessories,bags,other,brown,summer,2012.0,casual,baggit women brown aandhi parina crush mobile pouch
25740,men,accessories,wallets,wallets,black,fall,2011.0,casual,wrangler men casual black wallet
20399,women,accessories,bags,handbags,brown,winter,2015.0,casual,baggit women possible taj brown handbag
33279,unisex,apparel,bottomwear,other,blue,summer,2012.0,casual,gini and jony kids unisex blue jeans
38671,men,footwear,shoes,sports shoes,other,summer,2012.0,sports,nike men mercurial victory iii hg-v orange sports shoes
55257,women,personal care,other,other,grey,spring,2017.0,casual,lakme absolute forever silk grey matter eyeliner
19250,women,accessories,watches,watches,white,winter,2016.0,casual,guess women chronograph white dial watch i16540l1
40773,men,accessories,other,other,blue,summer,2012.0,casual,quiksilver men blue firtsy roundtails cap
59214,men,accessories,watches,watches,silver,winter,2016.0,casual,titan men silver watch
36405,men,accessories,socks,other,brown,summer,2016.0,casual,reid & taylor men brown socks
30938,women,apparel,topwear,other,red,summer,2012.0,ethnic,fabindia women printed red & black kurti
31277,men,apparel,topwear,tshirts,white,summer,2012.0,casual,puma men spike graphic white t-shirt
23642,men,apparel,topwear,tshirts,black,spring,2013.0,casual,jimi hendrix men black printed t-shirt
47946,women,accessories,bags,handbags,red,summer,2012.0,casual,murcia women red handbag
